manufacture,ASIN,description
Amazon Basics,B0C8NWKRRH,"Slope Basics Black Anti-theft 15.6 inches Laptop Bag, Office/College Backpack "
MuscleBlaze Gym,B0C8BBNB8B,"Duffle Bag for Women and Men, Sports Bag, Weekender Bag, Black, 30 L "
HAMMONDS FLYCATCHER,B083M1QK32,Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel 
Zipline Unisex,B09XN3YD4Q,Casual Polyester 36 L Blue Backpack School Bag Women Men Boys Girls College Bag 
"Lenovo 15.6""",B08R7S55H4,"Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap "
CAPRIFF 32,B084T7X2HX,L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment 
CAPRIFF 32,B09V5HRYR7,L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment 
URBAN TRIBE,B01LXNNFDF,"Havana Laptop Backpack for Men & Women | Laptop Bag 15.6 inch | Office Work/Casual/College Bag | Black, 27L "
Wildcraft 35,B079DDV3JD,Ltrs Casual Backpack (11619-Blue) 
Meek HP,B0C7WKWTZJ,"Executive Essential Laptop Bag, 17.5Inch Padded Backpack Lightweight Bag - Grey Black "
Impulse rucksack,B09TDL9FJ8,bags 60 litres travel bag for men tourist bag for travel backpack for hiking trekking Bag for men camping thames blue bag with 1 Year Warranty 
NORTH ZONE,B0BL3S5NC1,Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office 
Gear Classic,B07G4CYC74,20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Tan 
COSMUS Madison,B078JVT384,"waterproof Multipurpose Backpack With laptop compartment , 33L "
DIVULGE Multi,B07PXTDBH4,"Utility Drawstring Bag (Black , 16 L) "
Red Lemon,B07XYTZP4Z,Swisslook Polyester Bange Series 45L 15.6-inch Laptop Bags Backpack for Men and Women Semi Waterproof USB with Anti Theft Pocket Travel Backpack 
Half Moon,B0C6N3MYL2,Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets 
Trajectory 15.6,B09RK6NCGC,Inch Vegan Leather Messenger Laptop bag for men in Office for all laptop like Apple MacBook with 2 Years Warranty and Spacious Multiple Compartment with Expandable Bottom Used as Shoulder and Handbag for Men 
Sfane Polyester,B07GCR84D9,"9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag "
Asus BP1504,B0895ZZHKK,39.62 cm (15.6-inch) Laptop Backpack (Dark Grey) 
Dell Laptop,B0B6PF1L69,bag 
POLESTAR Ranker,B08421BRQ2,"15.6 inch 32 LTR Casual Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Backpack, Water Resistant and Light Weight, 1 year Warranty "
Veneer Medium,B09BMG8R6Y,"20 L Laptop Backpack Men Womens Girls Fashion PU Leather Mini Casual Backpack Bags for School, College, Tuition, Office Bag "
Half Moon,B0C1NZLF67,Valex Unisex School Bag/Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men & Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment 
uppercase Apex,B0BWNBQXDZ,"Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty "
Half Moon,B0C23Z9W18,Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets 
Half Moon,B0C23BYDML,Strike 35L Unisex Spacious School/Laptop/College/Office Travel Backpack Bag for Men Women Boys & Girls with 15.6 inch Padded Laptop Compartment & Multiple Pockets 
ADISA 32L,B0BPVCBFM7,Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Green) 
HARISSONS Bags,B07M5P5LW3,"Vervo 15.6-inch Laptop/Travel/Casual Backpack for Men and Women with Rain Cover (Black, 40 Ltrs) | Quick Access Zippered Pocket, Detailed Organizers & a Detachable Key Chain Holder "
MosQuick® Clear,B09SB42QFQ,"large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent "
Martucci Large,B0B7DT6HY3,35 L Backpack Spacy Unisex/College/School/Travel Backpack with Rain Cover and Reflective Strip 
EUME Virgo,B08R563J3T,"3 Compartment Office and College Bags, Polyester Casual Daypacks, Laptop Backpacks "
